[2024-11-06 20:22:25] Starting Symbols.py...
[2024-11-06 20:22:27] Output of Symbols.py:
Symbols saved to Symbols.csv for 06112024

[2024-11-06 20:22:27] Starting StkData.py...
[2024-11-06 22:04:53] Output of StkData.py:
       SYMBOL
0  1018GS2026
1   20MICRONS
2  21STCENMGM
3      360ONE
4   3IINFOLTD
Stock data for FIEMIND: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for FILATEX: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for FILATFASH: ('Garments & Apparels', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for FINCABLES: ('Cables - Electricals', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for FINEORG: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for FINIETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for FINOPB: ('Other Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for FINPIPE: ('Plastic Products - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for FIRSTCRY: ('E-Retail/ E-Commerce', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for FIVESTAR: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for FLAIR: ('Stationary', 'Household Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for FLEXITUFF: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for FLFL: ('Diversified Retail', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for FLUOROCHEM: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for FMCGIETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for FMGOETZE: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for FMNL: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for FOCUS: ('Consumer Electronics', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for FONEBOX: ('Speciality Retail', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for FOODSIN: ('Packaged Foods', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for FORCAS: ('Garments & Apparels', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for FORCEMOT: ('Passenger Cars & Utility Vehicles', 'Automobiles', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for FORGEAUTO: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for FORTIS: ('Hospital', 'Healthcare Services', 'Healthcare', 'Healthcare')
Stock data for FOSECOIND: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for FRESHARA: ('Other Food Products', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for FROG: ('Telecom - Equipment & Accessories', 'Telecom - Equipment & Accessories', 'Telecommunication', 'Telecommunication')
Stock data for FSC: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for FSL: ('Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for FUSION: ('Microfinance Institutions', 'Finance', 'Financial Services', 'Financial Services')
Stock data for GABRIEL: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for GAEL: ('Other Agricultural Products', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GAIL: ('Gas Transmission/Marketing', 'Gas', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for GAJANAND: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for GALAPREC: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for GALAXYSURF: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for GALLANTT: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for GANDHAR: ('Lubricants', 'Petroleum Products', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for GANDHITUBE: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for GANECOS: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for GANESHBE: ('Oil Storage & Transportation', 'Oil', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for GANESHHOUC: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for GANGAFORGE: ('Castings & Forgings', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for GANGESSECU: ('Tea & Coffee', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GARFIBRES: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for GARUDA: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for GATECH: ('Other Financial Services', 'Finance', 'Financial Services', 'Financial Services')
Stock data for GATECHDVR: ('Other Financial Services', 'Finance', 'Financial Services', 'Financial Services')
Stock data for GATEWAY: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for GAYAHWS: ('Road Assets - Toll Annuity Hybrid-Annuity', 'Transport Infrastructure', 'Services', 'Services')
Stock data for GEECEE: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for GEEKAYWIRE: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for GENCON: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for GENESYS: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for GENSOL: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for GENUSPAPER: ('Paper & Paper Products', 'Paper Forest & Jute Products', 'Commodities', 'Forest Materials')
Stock data for GENUSPOWER: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for GEOJITFSL: ('Stockbroking & Allied', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GEPIL: ('Heavy Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for GESHIP: ('Shipping', 'Transport Services', 'Services', 'Services')
Stock data for GFLLIMITED: ('Holding Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for GGBL: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for GHCL: ('Commodity Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for GHCLTEXTIL: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for GICHSGFIN: ('Housing Finance Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for GICL: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for GICRE: ('General Insurance', 'Insurance', 'Financial Services', 'Financial Services')
Stock data for GILLANDERS: ('Tea & Coffee', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GILLETTE: ('Personal Care', 'Personal Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GILT5YBEES: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GINNIFILA: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for GIPCL: ('Power Generation', 'Power', 'Utilities', 'Power')
Stock data for GIRIRAJ: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for GKWLIMITED: ('Investment Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for GLAND: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for GLAXO: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for GLENMARK: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for GLFL: ('Other Financial Services', 'Finance', 'Financial Services', 'Financial Services')
Stock data for GLOBAL: ('Education', 'Other Consumer Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for GLOBALE: ('Trading - Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for GLOBALPET: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for GLOBALVECT: ('Airline', 'Transport Services', 'Services', 'Services')
Stock data for GLOBE: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for GLOBUSSPR: ('Breweries & Distilleries', 'Beverages', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GLOSTERLTD: ('Jute & Jute Products', 'Paper Forest & Jute Products', 'Commodities', 'Forest Materials')
Stock data for GLS: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for GMBREW: ('Breweries & Distilleries', 'Beverages', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GMDCLTD: ('Industrial Minerals', 'Minerals & Mining', 'Commodities', 'Metals & Mining')
Stock data for GMMPFAUDLR: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for GMRINFRA: ('Airport & Airport services', 'Transport Infrastructure', 'Services', 'Services')
Stock data for GMRP&UI: (None, None, None, None)
Stock data for GNA: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for GNFC: ('Commodity Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for GOACARBON: ('Industrial Minerals', 'Minerals & Mining', 'Commodities', 'Metals & Mining')
Stock data for GOCLCORP: ('Explosives', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for GOCOLORS: ('Speciality Retail', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for GODAVARIB: ('Diversified FMCG', 'Diversified FMCG', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GODFRYPHLP: ('Cigarettes & Tobacco Products', 'Cigarettes & Tobacco Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GODHA: ('Cables - Electricals', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for GODIGIT: ('General Insurance', 'Insurance', 'Financial Services', 'Financial Services')
Stock data for GODREJAGRO: ('Animal Feed', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GODREJCP: ('Personal Care', 'Personal Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GODREJIND: ('Diversified', 'Diversified', 'Diversified', 'Diversified')
Stock data for GODREJPROP: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for GOENKA: ('Gems Jewellery And Watches', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for GOKEX: ('Garments & Apparels', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for GOKUL: ('Edible Oil', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GOKULAGRO: ('Edible Oil', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GOLD1: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GOLDBEES: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GOLDCASE: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GOLDENTOBC: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for GOLDETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GOLDETFADD: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GOLDIAM: ('Gems Jewellery And Watches', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for GOLDIETF: ('', '', '', '')
Stock data for GOLDKART: ('Gems Jewellery And Watches', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for GOLDSHARE: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GOLDSTAR: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for GOLDTECH: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for GOODLUCK: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for GOPAL: ('Packaged Foods', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GOYALALUM: ('Trading & Distributors', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for GOYALSALT: ('Other Food Products', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GPECO: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for GPIL: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for GPPL: ('Port & Port services', 'Transport Infrastructure', 'Services', 'Services')
Stock data for GPTHEALTH: ('Hospital', 'Healthcare Services', 'Healthcare', 'Healthcare')
Stock data for GPTINFRA: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for GRANULES: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for GRAPHISAD: ('Advertising & Media Agencies', 'Media', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for GRAPHITE: ('Electrodes & Refractories', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for GRASIM: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for GRASIMPP1: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for GRAVITA: ('Industrial Minerals', 'Minerals & Mining', 'Commodities', 'Metals & Mining')
Stock data for GRCL: ('Rubber', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for GREAVESCOT: ('Compressors Pumps & Diesel Engines', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for GREENCHEF: ('Household Appliances', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for GREENLAM: ('Plywood Boards/ Laminates', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for GREENPANEL: ('Plywood Boards/ Laminates', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for GREENPLY: ('Plywood Boards/ Laminates', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for GREENPOWER: ('Power Generation', 'Power', 'Utilities', 'Power')
Stock data for GRETEX: ('Media & Entertainment', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for GRINDWELL: ('Abrasives & Bearings', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for GRINFRA: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for GRMOVER: ('Other Agricultural Products', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GROBTEA: ('Tea & Coffee', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GROWWDEFNC: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GROWWEV: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GROWWGOLD: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GROWWLIQID: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GRPLTD: ('Rubber', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for GRSE: ('Aerospace & Defense', 'Aerospace & Defense', 'Industrials', 'Capital Goods')
Stock data for GRWRHITECH: ('Plastic Products - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for GSEC10IETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GSEC10YEAR: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GSEC5IETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for GSFC: ('Fertilizers', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for GSLSU: ('Granites & Marbles', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for GSMFOILS: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for GSPL: ('Gas Transmission/Marketing', 'Gas', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for GSS: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for GSTL: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for GTECJAINX: ('E-Learning', 'Other Consumer Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for GTL: ('Other Telecom Services', 'Telecom - Services', 'Telecommunication', 'Telecommunication')
Stock data for GTLINFRA: ('Telecom - Infrastructure', 'Telecom - Services', 'Telecommunication', 'Telecommunication')
Stock data for GTPL: ('TV Broadcasting & Software Production', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for GUFICBIO: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for GUJALKALI: ('Commodity Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for GUJAPOLLO: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for GUJGASLTD: ('LPG/CNG/PNG/LNG Supplier', 'Gas', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for GUJRAFFIA: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for GULFOILLUB: ('Lubricants', 'Petroleum Products', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for GULFPETRO: ('Lubricants', 'Petroleum Products', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for GULPOLY: ('Other Agricultural Products', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for GVKPIL: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for GVPTECH: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for GVT&D: (None, None, None, None)
Stock data for HAL: ('Aerospace & Defense', 'Aerospace & Defense', 'Industrials', 'Capital Goods')
Stock data for HAPPSTMNDS: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for HAPPYFORGE: ('Castings & Forgings', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HARDWYN: ('Furniture Home Furnishing', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for HARIOMPIPE: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HARRMALAYA: ('Rubber', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HARSHA: ('Other Industrial Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HATHWAY: ('TV Broadcasting & Software Production', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for HATSUN: ('Dairy Products', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for HAVELLS: ('Consumer Electronics', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for HAVISHA: ('Hotels & Resorts', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for HBLPOWER: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for HBSL: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for HCC: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for HCG: ('Hospital', 'Healthcare Services', 'Healthcare', 'Healthcare')
Stock data for HCL-INSYS: ('Computers Hardware & Equipments', 'IT - Hardware', 'Information Technology', 'Information Technology')
Stock data for HCLTECH: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for HDFCAMC: ('Asset Management Company', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCBANK: ('Private Sector Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for HDFCBSE500: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCGOLD: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCGROWTH: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCLIFE: ('Life Insurance', 'Insurance', 'Financial Services', 'Financial Services')
Stock data for HDFCLIQUID: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCLOWVOL: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCMID150: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCMOMENT: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCNEXT50: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCNIF100: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCNIFBAN: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCNIFIT: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCNIFTY: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCPSUBK: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCPVTBAN: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCQUAL: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCSENSEX: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCSILVER: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCSML250: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDFCVALUE: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HDIL: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for HEADSUP: ('Trading - Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for HEALTHADD: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HEALTHIETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HEALTHY: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HECPROJECT: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for HEG: ('Electrodes & Refractories', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HEIDELBERG: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for HEMIPROP: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for HERANBA: ('Pesticides & Agrochemicals', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for HERCULES: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for HERITGFOOD: ('Dairy Products', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for HEROMOTOCO: ('2/3 Wheelers', 'Automobiles', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for HESTERBIO: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for HEUBACHIND: ('Dyes And Pigments', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for HEXATRADEX: ('Investment Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for HFCL: ('Telecom - Infrastructure', 'Telecom - Services', 'Telecommunication', 'Telecommunication')
Stock data for HGINFRA: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for HGS: ('Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for HIGREEN: ('Waste Management', 'Other Utilities', 'Utilities', 'Utilities')
Stock data for HIKAL: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for HIL: ('Furniture Home Furnishing', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for HILTON: ('Castings & Forgings', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HIMATSEIDE: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for HINDALCO: ('Aluminium', 'Non - Ferrous Metals', 'Commodities', 'Metals & Mining')
Stock data for HINDCOMPOS: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for HINDCON: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for HINDCOPPER: ('Copper', 'Non - Ferrous Metals', 'Commodities', 'Metals & Mining')
Stock data for HINDMOTORS: ('Passenger Cars & Utility Vehicles', 'Automobiles', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for HINDNATGLS: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HINDOILEXP: ('Oil Exploration & Production', 'Oil', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for HINDPETRO: ('Refineries & Marketing', 'Petroleum Products', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for HINDUNILVR: ('Diversified FMCG', 'Diversified FMCG', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for HINDWAREAP: ('Sanitary Ware', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for HINDZINC: ('Zinc', 'Non - Ferrous Metals', 'Commodities', 'Metals & Mining')
Stock data for HIRECT: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for HISARMETAL: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HITECH: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HITECHCORP: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HITECHGEAR: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for HLEGLAS: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
