[2024-11-06 20:22:25] Starting Symbols.py...
[2024-11-06 20:22:27] Output of Symbols.py:
Symbols saved to Symbols.csv for 06112024

[2024-11-06 20:22:27] Starting StkData.py...
[2024-11-06 22:04:53] Output of StkData.py:
       SYMBOL
0  1018GS2026
1   20MICRONS
2  21STCENMGM
3      360ONE
4   3IINFOLTD
Stock data for ABSLLIQUID: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for ABSLNN50ET: ('', '', '', '')
Stock data for ABSLPSE: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for ABSMARINE: ('Shipping', 'Transport Services', 'Services', 'Services')
Stock data for ACC: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for ACCELYA: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for ACCENTMIC: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for ACCORD: ('Other Telecom Services', 'Telecom - Services', 'Telecommunication', 'Telecommunication')
Stock data for ACCURACY: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for ACE: ('Construction Vehicles', 'Agricultural Commercial & Construction Vehicles', 'Industrials', 'Capital Goods')
Stock data for ACEINTEG: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for ACI: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for ACL: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for ACLGATI: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for ACSAL: ('Shipping', 'Transport Services', 'Services', 'Services')
Stock data for ADANIENSOL: ('Power Distribution', 'Power', 'Utilities', 'Power')
Stock data for ADANIENT: ('Trading - Minerals', 'Metals & Minerals Trading', 'Commodities', 'Metals & Mining')
Stock data for ADANIGREEN: ('Power Generation', 'Power', 'Utilities', 'Power')
Stock data for ADANIPORTS: ('Port & Port services', 'Transport Infrastructure', 'Services', 'Services')
Stock data for ADANIPOWER: ('Integrated Power Utilities', 'Power', 'Utilities', 'Power')
Stock data for ADFFOODS: ('Packaged Foods', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for ADL: ('Plywood Boards/ Laminates', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for ADORWELD: ('Other Industrial Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for ADROITINFO: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for ADROITPP1: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for ADSL: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for ADVANIHOTR: ('Hotels & Resorts', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for ADVENZYMES: ('Biotechnology', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for AEGISLOG: ('Trading - Gas', 'Gas', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for AEROFLEX: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for AERON: ('Other Industrial Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for AESTHETIK: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for AETHER: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for AFCONS: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for AFFLE: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for AFFORDABLE: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for AFIL: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for AGARIND: ('Petrochemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for AGARWALFT: ('Glass - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for AGI: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for AGIIL: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for AGNI: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for AGRITECH: ('Other Agricultural Products', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for AGROPHOS: ('Fertilizers', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for AGSTRA: ('Financial Technology (Fintech)', 'Financial Technology (Fintech)', 'Financial Services', 'Financial Services')
Stock data for AGUL: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for AHIMSA: ('Plastic Products - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for AHL: ('Holding Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for AHLADA: ('Furniture Home Furnishing', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for AHLEAST: ('Hotels & Resorts', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for AHLUCONT: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for AIAENG: ('Castings & Forgings', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for AIIL: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for AILIMITED: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for AIMTRON: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
