symbol,company,anex,acqName,date,pid,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,tdpTransactionType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,30-Apr-2026 14:05,1197851,0,0,0,0,Equity Shares,3913,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197851_1661892_30042026020546_WEB.xml,Other,1976617,2.1,538722,Equity Shares,1972704,2.09,28-Apr-2026,28-Apr-2026,29-Apr-2026,Off Market,-,NA,-
PARIN,Parin Enterprises Limited,7(2),P.P. FURNITURE  PRIVATE LIMITED,30-Apr-2026 13:49,1197849,0,0,0,0,Equity Shares,11250,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197849_1661884_30042026014913_WEB.xml,Promoter Group,1323250,11.9,6993788,Equity Shares,1312000,11.8,27-Apr-2026,27-Apr-2026,29-Apr-2026,Market Sale,-,NSE,-
PARIN,Parin Enterprises Limited,7(2),P.P. FURNITURE  PRIVATE LIMITED,30-Apr-2026 13:49,1197849,0,0,0,0,Equity Shares,4000,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197849_1661884_30042026014913_WEB.xml,Promoter Group,1307250,11.76,2488000,Equity Shares,1303250,11.72,29-Apr-2026,29-Apr-2026,30-Apr-2026,Market Sale,-,NSE,-
PARIN,Parin Enterprises Limited,7(2),P.P. FURNITURE  PRIVATE LIMITED,30-Apr-2026 13:49,1197849,0,0,0,0,Equity Shares,4750,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197849_1661884_30042026014913_WEB.xml,Promoter Group,1312000,11.8,2951033,Equity Shares,1307250,11.76,28-Apr-2026,28-Apr-2026,30-Apr-2026,Market Sale,-,NSE,-
LLOYDS,Lloyds Luxuries Limited,7(2),RANJANA RANA,30-Apr-2026 11:38,1197847,0,0,0,0,Equity Shares,12815,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml,Employees/Designated Employees,543,0,192225,Equity Shares,13358,0.1,29-Apr-2026,29-Apr-2026,29-Apr-2026,ESOP,-,NA,-
LLOYDS,Lloyds Luxuries Limited,7(2),PARESH PARAB,30-Apr-2026 11:38,1197847,0,0,0,0,Equity Shares,4672,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml,Employees/Designated Employees,5840,0.02,70080,Equity Shares,10512,0.04,29-Apr-2026,29-Apr-2026,29-Apr-2026,ESOP,-,NA,-
LLOYDS,Lloyds Luxuries Limited,7(2),Nitin. A. Kanojia,30-Apr-2026 11:38,1197847,0,0,0,0,Equity Shares,8445,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml,Employees/Designated Employees,2413,0.01,126675,Equity Shares,10858,0.04,29-Apr-2026,29-Apr-2026,29-Apr-2026,ESOP,-,NA,-
LLOYDS,Lloyds Luxuries Limited,7(2),Kishor Kalokhe,30-Apr-2026 11:38,1197847,0,0,0,0,Equity Shares,7232,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml,Employees/Designated Employees,9040,0.04,108480,Equity Shares,16272,0.07,29-Apr-2026,29-Apr-2026,30-Apr-2026,ESOP,-,NA,-
LLOYDS,Lloyds Luxuries Limited,7(2),LLOYDS LUXURIES EMPLOYEES WELFARE TRUST,30-Apr-2026 11:38,1197847,0,0,0,0,Equity Shares,40757,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml,Other,273737,1.13,611355,Equity Shares,232980,0.96,29-Apr-2026,29-Apr-2026,29-Apr-2026,ESOP,-,NA,-
LLOYDS,Lloyds Luxuries Limited,7(2),Suryakant Wafelkar,30-Apr-2026 11:38,1197847,0,0,0,0,Equity Shares,2640,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml,Employees/Designated Employees,300,0,39600,Equity Shares,2940,0.01,29-Apr-2026,29-Apr-2026,30-Apr-2026,ESOP,-,NA,-
